poem,data,stereotype,original_lang
1,"Jack and Jill went up the hill, To fetch a pail of water.",0,English
1,"Jack fell down and broke his crown, And Jill came tumbling after.",0,English
1,"Up Jack got, and home did trot, As fast as he could caper",0,English
1,"He went to bed to mend his head, With vinegar and brown paper.",0,English
1,Jill came in And she did grin,0,English
1,To see his paper plaster;,0,English
1,"Mother, vex'd, Did whip her next",1,English
1,For causing Jack's disaster.,1,English
2,"Peter, Peter pumpkin eater",0,English
2,Had a wife but couldn't keep her;,1,English
2,He put her in a pumpkin shell,0,English
2,And there he kept her very well.,1,English
2,"Peter, Peter pumpkin eater",0,English
2,Had another and didn't love her;,0,English
2,Peter learned to read and spell,0,English
2,And then he loved her very well.,0,English
3,There was an old woman who lived in a shoe,0,English
3,She had so many children she did not know what to do;,0,English
3,She gave them some broth without any bread;,0,English
3,She whipped them all soundly and put them to bed.,0,English
4,"Georgie Porgie, pudding and pie",0,English
4,Kissed the girls and made them cry,1,English
4,When the boys came out to play,1,English
4,Georgie Porgie ran away.,0,English
5,Goosey goosey gander,0,English
5,Whither shall I wander?,0,English
5,Upstairs and downstairs,0,English
5,And in my lady's chamber.,0,English
5,There I met an old man,0,English
5,Who wouldn't say his prayers,0,English
5,So I took him by his left leg,0,English
5,And threw him down the stair,0,English
6,Hot cross buns!,0,English
6,Hot cross buns!,0,English
6,"One ha' penny, two ha' penny",0,English
6,Hot cross buns!,0,English
6,If you have no daughters,1,English
6,Give them to your sons,0,English
6,"One ha' penny,",0,English
6,Two ha penny,0,English
6,Hot Cross Buns!,0,English
7,Little Miss Muffet,0,English
7,Sat on a tuffet,0,English
7,Eating her curds and whey;,0,English
7,Along came a spider,0,English
7,Who sat down beside her,0,English
7,And frightened Miss Muffet away,0,English
7,Little Miss Muffet,0,English
7,Sat on a Tuffet,0,English
7,Eating her Bread and Jam,0,English
7,Along came a Spider,0,English
7,While she was Drinking her Cider,0,English
7,And she ran away and her shoes fell off!,0,English
8,Three blind mice. Three blind mice.,0,English
8,See how they run. See how they run,0,English
8,They all ran after the farmer's wife,1,English
8,Who cut off their tails with a carving knife,0,English
8,Did you ever see such a sight in your life,0,English
8,As three blind mice?,0,English
9,A B C D E F G,0,English
9,H I J K L M N O P,0,English
9,Q R S and T U V,0,English
9,W X and Y and Z.,0,English
9,Now I've said my A B C,0,English
9,Tell me what you think of me.,0,English
10,"About the bush, Willie, about the bee-hive",0,English
10,"About the bush, Willie, I'll meet thee alive.",0,English
11,"As I was going up Primrose Hill,",0,English
11,Primrose Hill was dirty;,0,English
11,There I met a pretty lass,0,English
11,And she dropped me a curtsey.,0,English
11,"Little lass, pretty lass,",0,English
11,Blessings light upon you;,0,English
11,"If I had half-a-crown a day,",0,English
11,I'd spend it all upon you.,1,English
12,As I went to Bonner,0,English
12,I met a pig,0,English
12,Without a wig,0,English
12,Upon my word and honor,0,English
13,"Bah, bah, black sheep,",0,English
13,Have you any wool?,0,English
13,"Yes, marry, have I,",0,English
13,Three bags full;,0,English
13,"One for my master,",0,English
13,"One for my dame,",0,English
13,But none for the little boy,0,English
13,Who cries in the lane.,0,English
14,"Bat, bat,",0,English
14,"Come under my hat,",0,English
14,And I'll give you a slice of bacon;,0,English
14,And when I bake,0,English
14,"I'll give you a cake,",0,English
14,If I am not mistaken.,0,English
15,"Bonny lass, pretty lass,",0,English
15,Wilt thou be mine?,1,English
15,Thou shalt not wash dishes,1,English
15,Nor yet serve the swine.,0,English
15,Thou shalt sit on a cushion,0,English
15,"And sew a fine seam,",1,English
15,"And thou shalt eat strawberries,",0,English
15,Sugar and cream.,0,English
16,"Bow, wow, wow!",0,English
16,Whose dog art thou?,0,English
16,"Little Tom Tinker's dog,",0,English
16,"Bow, wow, wow!",0,English
17,"Bye, Baby bunting,",0,English
17,"Father's gone a-hunting,",1,English
17,"Mother's gone a-milking,",1,English
17,"Sister's gone a-silking,",1,English
17,And Brother's gone to buy a skin,1,English
17,To wrap the Baby bunting in.,0,English
18,"Cock, cock, cock, cock,",0,English
18,"I've laid an egg,",0,English
18,Am I to gang ba-are-foot?,0,English
18,"Hen, hen, hen, hen,",0,English
18,I've been up and down,0,English
18,"To every shop in town,",0,English
18,And cannot find a shoe,0,English
18,"To fit your foot,",0,English
18,If I'd crow my hea-art out.,0,English
18,"Cock-a-doodle-doo,",0,English
18,My dame has lost her shoe;,0,English
18,"My master's lost his fiddlestick,",0,English
18,And knows not what to do.,0,English
19,Cold and raw the north winds blow,0,English
19,"Bleak in the morning early,",0,English
19,"All the hills are covered with snow,",0,English
19,And winter's now come fairly.,0,English
20,Daffy-down-dilly is now come to town,0,English
20,With a petticoat green and a bright yellow gown.,0,English
21,"Dickery, dickery, dock,",0,English
21,The mouse ran up the clock;,0,English
21,"The clock struck one,",0,English
21,"The mouse ran down,",0,English
21,"Dickery, dickery, dock.",0,English
22,"Diddle, diddle, dumpling, my son John,",0,English
22,"Went to bed with his breeches on,",0,English
22,"One stocking off, and one stocking on,",0,English
22,"Diddle, diddle, dumpling, my son John.",0,English
23,"Ding—dong—bell, the cat's in the well.",0,English
23,Who put her in? Little Johnny Green.,1,English
23,Who pulled her out? Great Johnny Stout.,1,English
23,What a naughty boy was that,1,English
23,To drown poor pussy cat,0,English
23,"Who never did him any harm,",0,English
23,And killed the mice in his father's barn,1,English
24,Four-and-twenty tailors,0,English
24,Went to kill a snail;,0,English
24,The best man among them,0,English
24,Durst not touch her tail;,0,English
24,She put out her horns,0,English
24,Like a little Kyloe cow.,0,English
24,"Run, tailors, run, or",0,English
24,She'll kill you all just now.,0,English
25,"Handy-spandy, Jacky dandy,",0,English
25,Loves plum cake and sugar candy.,0,English
25,"He bought some at a grocer's shop,",0,English
25,"And pleased away went hop, hop, hop.",0,English
26,"Hickety, pickety, my black hen,",0,English
26,She lays eggs for gentlemen:,1,English
26,Gentlemen come every day,0,English
26,To see what my black hen doth lay.,0,English
27,How many days has my baby to play?,0,English
27,"Saturday, Sunday, Monday,",0,English
27,"Tuesday, Wednesday, Thursday, Friday,",0,English
27,"Saturday, Sunday, Monday.",0,English
28,"Humpty Dumpty sat on a wall,",0,English
28,Humpty Dumpty had a great fall;,0,English
28,All the king's horses and all the king's men,1,English
28,Couldn't put Humpty Dumpty together again.,0,English
29,"I had a little hen, the prettiest ever seen,",0,English
29,She washed me the dishes and kept the house clean.,1,English
29,"She went to the mill to fetch me some flour,",1,English
29,And always got home in less than an hour.,0,English
